Date,close,volume,open,high,low
12/15/2016,100.71,1377673,100.1,101.06,98.85
12/14/2016,99.99,731561,101.12,101.47,99.6
12/13/2016,100.89,686437,101.18,101.96,100.52
12/12/2016,101.1,823900,100.25,101.74,100.04
12/9/2016,100.3,1725045,98.43,100.69,98.12
12/8/2016,98.44,947202,99.08,99.48,98.29
12/7/2016,99.16,883429,98.55,99.29,97.66
12/6/2016,98.49,1279842,98.08,98.7,97.51
12/5/2016,97.89,704203,96.95,98.144,96.46
12/2/2016,97.08,822710,96.58,97.64,96.2
12/1/2016,96.28,1090123,96.5,97.34,95.68
11/30/2016,96.64,4423793,97.45,98,96.53
